DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, BALANCING, COST_SENSITIVE, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
syncope,20,93.7637843181991,IBk,Best First,None,None,0.9277261200338124,0.9781639928698752,0.7098798957714398,0.25040720672805183,4390.0,342.0,90.0,98.0
syncope,21,94.12985897344119,IBk,Best First,None,None,0.9261889391004949,0.9733152419719584,0.7688660567189609,0.35590609675891327,4304.0,343.0,155.0,118.0
syncope,22,94.44895199459094,IBk,Best First,None,None,0.9103448275862069,0.9406896551724138,0.7109642401021712,0.27058515178193404,4092.0,403.0,173.0,258.0
syncope,23,94.70448869821348,IBk,Best First,None,None,0.9168321200088242,0.9540863177226814,0.7792811478117508,0.3797126430057964,4156.0,377.0,229.0,200.0
syncope,24,94.96503496503496,IBk,Best First,None,None,0.9348251140560504,0.9536790780141844,0.741311910927585,0.32492936178937293,4303.0,300.0,156.0,209.0
syncope,1,50.0,Random Forest,None,Undersampling,None,0.9756604333630158,0.9864945978391356,0.6494454924827073,0.013121019108281015,3287.0,82.0,2.0,45.0
syncope,2,66.62116040955631,Random Forest,None,Undersampling,None,0.9649612403100776,0.9519730804527379,0.6462061951508266,0.19206197679541748,3112.0,113.0,41.0,157.0
syncope,3,74.97441146366428,Random Forest,None,Undersampling,None,0.9326894053727739,0.9744560075685903,0.666162344260736,0.12088847887024075,3090.0,223.0,29.0,81.0
syncope,4,79.98362668849775,Random Forest,None,Undersampling,None,0.9659574468085106,0.9306212551245664,0.9029098026259805,0.4273756342976099,2951.0,104.0,148.0,220.0
syncope,5,83.26516700749829,Random Forest,None,Undersampling,None,0.8275755706354102,0.9802703690171721,0.6712479774518503,0.24837867871992425,2683.0,559.0,141.0,54.0
syncope,6,85.4895104895105,Random Forest,None,Undersampling,None,0.8677430436276193,0.9182115594329335,0.7997715116580983,0.4285875514925793,2526.0,385.0,350.0,225.0
syncope,7,87.32824427480917,Random Forest,None,Undersampling,None,0.8496993987975952,0.9366715758468336,0.8091528317043781,0.40458561114571095,2544.0,450.0,320.0,172.0
syncope,8,83.26271186440678,Random Forest,None,Undersampling,None,0.9837733773377337,0.6653645833333334,0.6556285511363636,0.04350625316046553,3577.0,59.0,95.0,1799.0
syncope,9,87.99403430275913,Random Forest,None,Undersampling,None,0.9712738403578997,0.9504608294930875,0.6389688940092166,0.1771387839907785,4125.0,122.0,46.0,215.0
syncope,10,89.25124792013311,Random Forest,None,Undersampling,None,0.9630244133680967,0.9499649286883329,0.7320380010783832,0.281786549198012,4063.0,156.0,89.0,214.0
syncope,11,90.25379186063974,Random Forest,None,Undersampling,None,0.9475402191653066,0.9596221959858323,0.7165779910762201,0.2493735141039647,4064.0,225.0,83.0,171.0
syncope,12,91.06947483588621,Random Forest,None,Undersampling,None,0.9037259893543161,0.9685019841269841,0.6536879362134465,0.2562065124591734,3905.0,416.0,123.0,127.0
syncope,13,91.77858667001381,Random Forest,None,Undersampling,None,0.8948704926358557,0.9087158329035585,0.773675789077471,0.334758045745964,3524.0,414.0,293.0,354.0
syncope,14,92.26404169079328,Random Forest,None,Undersampling,None,0.8266730861819933,0.9470490899062327,0.7058852730281302,0.31816594590238795,3434.0,720.0,330.0,192.0
syncope,15,92.81952058475761,Random Forest,None,Undersampling,None,0.8303823453938928,0.9136081309994354,0.7413853112610876,0.37009891875867884,3236.0,661.0,473.0,306.0
syncope,16,93.93174474959612,Random Forest,None,Undersampling,None,0.8665338645418327,0.9043659043659044,0.7873371801943231,0.37035388794630003,3045.0,469.0,371.0,322.0
